n,Best Case,Worst Case
100,54,5505
200,54,10955
300,54,16405
400,54,21857
500,54,27303
600,54,32749
700,54,38201
800,54,43658
900,54,49101
1000,54,54559
1100,54,60001
1200,54,65463
1300,54,70909
1400,54,76366
1500,54,81809
1600,54,87255
1700,54,92701
1800,54,98150
1900,54,103603
2000,54,109055
2100,54,114509
2200,54,119944
2300,54,125409
2400,54,130863
2500,54,136298
2600,54,141746
2700,54,147218
2800,54,152646
2900,54,158106
3000,54,163561
3100,54,169002
3200,54,174448
3300,54,179909
3400,54,185353
3500,54,190806
3600,54,196260
3700,54,201711
3800,54,207157
3900,54,212600
4000,54,218050
4100,54,223506
4200,54,228958
4300,54,234418
4400,54,239839
4500,54,245297
4600,54,250764
4700,54,256194
4800,54,261661
4900,54,267095
5000,54,272563
5100,54,277986
5200,54,283470
5300,54,288913
5400,54,294363
5500,54,299809
5600,54,305266
5700,54,310716
5800,54,316151
5900,54,321617
6000,54,327061
6100,54,332496
6200,54,337940
6300,54,343417
6400,54,348835
6500,54,354292
6600,54,359751
6700,54,365196
6800,54,370662
6900,54,376088
7000,54,381537
7100,54,387005
7200,54,392444
7300,54,397908
7400,54,403366
7500,54,408785
7600,54,414245
7700,54,419704
7800,54,425138
7900,54,430605
8000,54,436053
8100,54,441517
8200,54,446967
8300,54,452401
8400,54,457866
8500,54,463298
8600,54,468747
8700,54,474207
8800,54,479661
8900,54,485110
9000,54,490548
9100,54,495992
9200,54,501464
9300,54,506926
9400,54,512371
9500,54,517774
9600,54,523257
9700,54,528687
9800,54,534154
9900,54,539582
10000,54,545057
