n,Best Case,Worst Case
100,5561,5557
200,11007,11009
300,16454,16461
400,21910,21909
500,27357,27358
600,32810,32808
700,38266,38257
800,43712,43702
900,49150,49157
1000,54608,54606
1100,60051,60053
1200,65511,65506
1300,70962,70963
1400,76415,76414
1500,81853,81859
1600,87297,87316
1700,92752,92753
1800,98209,98216
1900,103645,103660
2000,109108,109113
2100,114561,114562
2200,120012,120005
2300,125468,125466
2400,130905,130925
2500,136363,136357
2600,141815,141811
2700,147264,147260
2800,152706,152719
2900,158152,158155
3000,163612,163605
3100,169060,169056
3200,174502,174504
3300,179952,179957
3400,185401,185403
3500,190856,190855
3600,196314,196309
3700,201751,201749
3800,207196,207205
3900,212665,212657
4000,218108,218098
4100,223575,223538
4200,229002,229026
4300,234455,234463
4400,239907,239915
4500,245334,245347
4600,250816,250806
4700,256240,256251
4800,261705,261719
4900,267170,267151
5000,272612,272615
5100,278061,278066
5200,283520,283502
5300,288957,288970
5400,294397,294412
5500,299853,299868
5600,305304,305307
5700,310767,310769
5800,316211,316204
5900,321641,321643
6000,327114,327110
6100,332563,332558
6200,338008,338017
6300,343464,343469
6400,348930,348910
6500,354358,354369
6600,359793,359807
6700,365266,365268
6800,370695,370714
6900,376158,376142
7000,381600,381605
7100,387053,387067
7200,392537,392515
7300,397956,397968
7400,403411,403409
7500,408865,408864
7600,414320,414306
7700,419768,419748
7800,425172,425217
7900,430659,430651
8000,436117,436097
8100,441555,441549
8200,446994,447007
8300,452478,452450
8400,457909,457897
8500,463345,463363
8600,468816,468819
8700,474276,474258
8800,479702,479678
8900,485146,485158
9000,490613,490587
9100,496047,496039
9200,501489,501515
9300,506961,506959
9400,512414,512395
9500,517853,517862
9600,523299,523287
9700,528760,528763
9800,534191,534208
9900,539633,539683
10000,545102,545085
