n,Best Case,Worst Case
100,4,28
200,4,32
300,4,36
400,4,36
500,4,36
600,4,40
700,4,40
800,4,40
900,4,40
1000,4,40
1100,4,44
1200,4,44
1300,4,44
1400,4,44
1500,4,44
1600,4,44
1700,4,44
1800,4,44
1900,4,44
2000,4,44
2100,4,48
2200,4,48
2300,4,48
2400,4,48
2500,4,48
2600,4,48
2700,4,48
2800,4,48
2900,4,48
3000,4,48
3100,4,48
3200,4,48
3300,4,48
3400,4,48
3500,4,48
3600,4,48
3700,4,48
3800,4,48
3900,4,48
4000,4,48
4100,4,52
4200,4,52
4300,4,52
4400,4,52
4500,4,52
4600,4,52
4700,4,52
4800,4,52
4900,4,52
5000,4,52
5100,4,52
5200,4,52
5300,4,52
5400,4,52
5500,4,52
5600,4,52
5700,4,52
5800,4,52
5900,4,52
6000,4,52
6100,4,52
6200,4,52
6300,4,52
6400,4,52
6500,4,52
6600,4,52
6700,4,52
6800,4,52
6900,4,52
7000,4,52
7100,4,52
7200,4,52
7300,4,52
7400,4,52
7500,4,52
7600,4,52
7700,4,52
7800,4,52
7900,4,52
8000,4,52
8100,4,52
8200,4,56
8300,4,56
8400,4,56
8500,4,56
8600,4,56
8700,4,56
8800,4,56
8900,4,56
9000,4,56
9100,4,56
9200,4,56
9300,4,56
9400,4,56
9500,4,56
9600,4,56
9700,4,56
9800,4,56
9900,4,56
10000,4,56
