n,Best Case,Worst Case
100,256,408
200,512,808
300,1024,1208
400,1024,1608
500,1024,2008
600,2048,2408
700,2048,2808
800,2048,3208
900,2048,3608
1000,2048,4008
1100,4096,4408
1200,4096,4808
1300,4096,5208
1400,4096,5608
1500,4096,6008
1600,4096,6408
1700,4096,6808
1800,4096,7208
1900,4096,7608
2000,4096,8008
2100,8192,8408
2200,8192,8808
2300,8192,9208
2400,8192,9608
2500,8192,10008
2600,8192,10408
2700,8192,10808
2800,8192,11208
2900,8192,11608
3000,8192,12008
3100,8192,12408
3200,8192,12808
3300,8192,13208
3400,8192,13608
3500,8192,14008
3600,8192,14408
3700,8192,14808
3800,8192,15208
3900,8192,15608
4000,8192,16008
4100,16384,16408
4200,16384,16808
4300,16384,17208
4400,16384,17608
4500,16384,18008
4600,16384,18408
4700,16384,18808
4800,16384,19208
4900,16384,19608
5000,16384,20008
5100,16384,20408
5200,16384,20808
5300,16384,21208
5400,16384,21608
5500,16384,22008
5600,16384,22408
5700,16384,22808
5800,16384,23208
5900,16384,23608
6000,16384,24008
6100,16384,24408
6200,16384,24808
6300,16384,25208
6400,16384,25608
6500,16384,26008
6600,16384,26408
6700,16384,26808
6800,16384,27208
6900,16384,27608
7000,16384,28008
7100,16384,28408
7200,16384,28808
7300,16384,29208
7400,16384,29608
7500,16384,30008
7600,16384,30408
7700,16384,30808
7800,16384,31208
7900,16384,31608
8000,16384,32008
8100,16384,32408
8200,32768,32808
8300,32768,33208
8400,32768,33608
8500,32768,34008
8600,32768,34408
8700,32768,34808
8800,32768,35208
8900,32768,35608
9000,32768,36008
9100,32768,36408
9200,32768,36808
9300,32768,37208
9400,32768,37608
9500,32768,38008
9600,32768,38408
9700,32768,38808
9800,32768,39208
9900,32768,39608
10000,32768,40008
