n,Best Case,Worst Case
100,4,280
200,4,544
300,4,816
400,4,1080
500,4,1344
600,4,1616
700,4,1880
800,4,2144
900,4,2416
1000,4,2680
1100,4,2944
1200,4,3216
1300,4,3480
1400,4,3744
1500,4,4016
1600,4,4280
1700,4,4544
1800,4,4816
1900,4,5080
2000,4,5344
2100,4,5616
2200,4,5880
2300,4,6144
2400,4,6416
2500,4,6680
2600,4,6944
2700,4,7216
2800,4,7480
2900,4,7744
3000,4,8016
3100,4,8280
3200,4,8544
3300,4,8816
3400,4,9080
3500,4,9344
3600,4,9616
3700,4,9880
3800,4,10144
3900,4,10416
4000,4,10680
4100,4,10944
4200,4,11216
4300,4,11480
4400,4,11744
4500,4,12016
4600,4,12280
4700,4,12544
4800,4,12816
4900,4,13080
5000,4,13344
5100,4,13616
5200,4,13880
5300,4,14144
5400,4,14416
5500,4,14680
5600,4,14944
5700,4,15216
5800,4,15480
5900,4,15744
6000,4,16016
6100,4,16280
6200,4,16544
6300,4,16816
6400,4,17080
6500,4,17344
6600,4,17616
6700,4,17880
6800,4,18144
6900,4,18416
7000,4,18680
7100,4,18944
7200,4,19216
7300,4,19480
7400,4,19744
7500,4,20016
7600,4,20280
7700,4,20544
7800,4,20816
7900,4,21080
8000,4,21344
8100,4,21616
8200,4,21880
8300,4,22144
8400,4,22416
8500,4,22680
8600,4,22944
8700,4,23216
8800,4,23480
8900,4,23744
9000,4,24016
9100,4,24280
9200,4,24544
9300,4,24816
9400,4,25080
9500,4,25344
9600,4,25616
9700,4,25880
9800,4,26144
9900,4,26416
10000,4,26680
