n,Best Case,Worst Case
100,30,284
200,34,548
300,38,820
400,39,1084
500,39,1348
600,43,1620
700,43,1884
800,43,2148
900,43,2420
1000,43,2684
1100,46,2948
1200,47,3220
1300,46,3484
1400,47,3748
1500,47,4020
1600,47,4284
1700,47,4548
1800,47,4820
1900,47,5084
2000,47,5348
2100,50,5620
2200,51,5884
2300,51,6148
2400,51,6420
2500,51,6684
2600,51,6948
2700,51,7220
2800,51,7484
2900,51,7748
3000,51,8020
3100,51,8284
3200,51,8548
3300,51,8820
3400,51,9084
3500,51,9348
3600,51,9620
3700,51,9884
3800,51,10148
3900,51,10420
4000,51,10684
4100,52,10948
4200,55,11220
4300,55,11484
4400,55,11748
4500,54,12020
4600,55,12284
4700,55,12548
4800,55,12820
4900,55,13084
5000,55,13348
5100,55,13620
5200,55,13884
5300,55,14148
5400,55,14420
5500,55,14684
5600,55,14948
5700,55,15220
5800,55,15484
5900,55,15748
6000,55,16020
6100,55,16284
6200,55,16548
6300,55,16820
6400,55,17084
6500,55,17348
6600,55,17620
6700,55,17884
6800,55,18148
6900,55,18420
7000,55,18684
7100,55,18948
7200,55,19220
7300,55,19484
7400,55,19748
7500,55,20020
7600,55,20284
7700,55,20548
7800,55,20820
7900,55,21084
8000,55,21348
8100,55,21620
8200,56,21884
8300,58,22148
8400,59,22420
8500,59,22684
8600,59,22948
8700,59,23220
8800,59,23484
8900,59,23748
9000,59,24020
9100,59,24284
9200,59,24548
9300,58,24820
9400,59,25084
9500,59,25348
9600,59,25620
9700,59,25884
9800,59,26148
9900,59,26420
10000,59,26684
